TOTAIS DE VENDAS POR DIA
Dia		Total		Media/Dia
01/01/2015	 774.14		  16.83
02/01/2015	 830.46		  17.30
03/01/2015	 780.87		  17.35
05/01/2015	 637.71		  19.32
06/01/2015	 837.71		  19.48
07/01/2015	 413.59		  12.16
08/01/2015	 704.13		  15.65
09/01/2015	 615.49		  14.65
10/01/2015	 620.83		  15.92
12/01/2015	 745.97		  19.63
13/01/2015	 649.25		  17.55
14/01/2015	 815.91		  19.43
15/01/2015	 671.44		  18.65
16/01/2015	 768.72		  19.22
17/01/2015	 779.27		  17.32
19/01/2015	 505.33		  17.43
20/01/2015	 728.78		  18.69
21/01/2015	 496.10		  15.03
22/01/2015	 520.53		  16.79
23/01/2015	 659.10		  18.31
24/01/2015	 586.11		  13.02
26/01/2015	 864.16		  18.39
27/01/2015	 782.39		  21.73
28/01/2015	 743.14		  16.89
29/01/2015	 459.78		  13.93
30/01/2015	 586.93		  15.45
31/01/2015	 385.21		  12.43
02/02/2015	 627.87		  16.52
03/02/2015	 633.83		  19.21
04/02/2015	 878.07		  19.09
05/02/2015	 873.23		  21.30
06/02/2015	 431.23		  14.87
07/02/2015	 746.35		  16.96
09/02/2015	 792.56		  19.33
10/02/2015	 680.37		  16.59
11/02/2015	 624.66		  18.93
12/02/2015	 744.43		  16.54
13/02/2015	 746.24		  21.32
14/02/2015	 706.73		  19.63
16/02/2015	 723.47		  22.61
17/02/2015	 810.34		  17.24
18/02/2015	 432.50		  13.95
19/02/2015	 787.35		  16.75
20/02/2015	 640.40		  22.08
21/02/2015	 958.17		  22.28
23/02/2015	 439.72		  10.99
24/02/2015	 550.72		  17.21
25/02/2015	 469.61		  14.23
26/02/2015	 795.48		  20.40
27/02/2015	 811.91		  17.65
28/02/2015	 449.13		  14.49
02/03/2015	 835.51		  17.78
03/03/2015	 711.89		  19.24
04/03/2015	 581.66		  16.62
05/03/2015	 747.88		  21.37
06/03/2015	 748.80		  19.20
07/03/2015	 574.26		  19.80
09/03/2015	 778.27		  17.69
10/03/2015	 641.64		  20.70
11/03/2015	 599.31		  13.32
12/03/2015	 647.95		  19.63
13/03/2015	 626.16		  14.23
14/03/2015	 539.83		  15.42
16/03/2015	 637.36		  17.70
17/03/2015	 629.51		  17.99
18/03/2015	 619.06		  16.73
19/03/2015	 581.15		  16.60
20/03/2015	 505.11		  14.03
21/03/2015	1005.13		  20.94
23/03/2015	 709.32		  20.27
24/03/2015	 551.63		  16.72
25/03/2015	 564.47		  13.77
26/03/2015	 579.79		  13.48
27/03/2015	 704.94		  16.39
28/03/2015	 408.39		  13.61
30/03/2015	 645.29		  17.92
31/03/2015	 742.31		  17.26
01/04/2015	 749.78		  18.29
02/04/2015	 496.05		  15.50
03/04/2015	 553.57		  16.28
04/04/2015	 358.08		  12.35
06/04/2015	 300.25		   9.69
07/04/2015	 501.01		  15.18
08/04/2015	 689.23		  18.63
09/04/2015	 657.94		  16.87
10/04/2015	 603.31		  13.41
11/04/2015	 712.08		  17.37
13/04/2015	 433.37		  14.94
14/04/2015	 567.94		  17.21
15/04/2015	 501.63		  16.72
16/04/2015	 713.01		  18.28
17/04/2015	 785.94		  20.68
18/04/2015	 735.69		  15.99
20/04/2015	 537.08		  14.52
21/04/2015	 501.10		  16.16
22/04/2015	 638.20		  13.58
23/04/2015	 477.19		  14.91
24/04/2015	 613.71		  18.05
25/04/2015	 624.16		  13.28
27/04/2015	 586.26		  17.77
28/04/2015	 643.63		  14.30
29/04/2015	 390.11		  13.00
30/04/2015	 641.09		  17.33
01/05/2015	 481.88		  15.54
02/05/2015	 508.68		  13.75
04/05/2015	 408.75		  13.19
05/05/2015	 502.32		  15.22
06/05/2015	 713.16		  16.98
07/05/2015	 712.89		  15.17
08/05/2015	 617.83		  17.65
09/05/2015	 819.61		  22.15
11/05/2015	 643.54		  15.70
12/05/2015	 435.46		  14.05
13/05/2015	 649.16		  16.23
14/05/2015	 669.55		  19.13
15/05/2015	 652.91		  15.92
16/05/2015	 797.55		  16.62
18/05/2015	 671.55		  14.29
19/05/2015	 582.15		  17.64
20/05/2015	 510.00		  14.17
21/05/2015	 590.88		  19.70
22/05/2015	 655.17		  15.24
23/05/2015	 688.10		  19.11
25/05/2015	 831.37		  20.78
26/05/2015	 674.51		  21.76
27/05/2015	 692.92		  15.40
28/05/2015	 705.08		  17.63
29/05/2015	 587.22		  15.06
30/05/2015	 545.03		  15.57
01/06/2015	 596.87		  19.25
