3;35;287;5.30;4.27
5;21;278;11.94;6.53
2;16;131;6.43;6.32
2;43;149;1.68;6.41
7;49;270;3.40;6.04
6;15;127;1.32;5.66
1;5;343;10.23;4.80
1;29;133;2.16;6.06
2;40;148;13.61;4.96
1;34;299;13.35;7.56
9;25;182;11.68;6.94
5;25;323;4.10;5.34
6;35;288;11.18;4.42
1;27;212;9.77;7.19
6;31;346;14.09;6.71
1;26;280;4.67;5.34
2;26;344;12.71;6.48
8;40;154;15.77;6.75
4;50;145;3.97;4.65
6;34;143;12.15;7.70
8;10;204;2.74;7.68
8;36;162;7.48;6.52
1;24;199;15.19;8.28
7;4;129;12.94;7.04
8;36;241;12.47;5.56
3;43;339;14.22;6.56
1;50;120;8.45;7.37
9;19;314;4.73;7.70
6;29;257;7.61;5.00
5;28;220;13.56;5.84
7;23;133;4.23;6.79
5;30;215;5.43;8.02
9;27;337;9.96;8.05
1;35;303;12.86;8.06
2;15;175;3.25;6.44
4;38;274;3.46;7.19
3;3;339;7.24;5.96
7;16;249;9.07;7.23
9;35;150;4.86;7.15
1;3;287;11.18;6.09
9;16;186;5.65;8.01
9;19;279;10.33;7.69
6;23;186;5.58;6.88
9;11;209;5.81;5.59
6;13;125;15.17;6.03
4;36;285;13.13;6.98
5;24;304;14.00;6.17
7;29;231;15.93;7.72
7;45;190;4.27;5.25
5;19;153;14.62;7.59
1;12;298;11.44;6.71
3;29;211;2.58;5.11
5;17;278;3.31;5.17
3;27;277;2.91;4.61
6;26;235;7.69;8.21
3;45;322;14.95;7.89
4;11;244;5.94;5.04
1;4;216;7.47;4.23
2;38;290;14.99;8.01
9;43;186;12.39;5.14
3;2;240;11.14;7.60
2;23;178;13.56;5.09
8;36;247;2.64;5.15
2;1;288;12.23;4.30
3;27;194;12.04;5.88
8;12;226;14.50;7.42
6;3;284;14.17;7.75
1;28;121;7.33;6.86
6;13;326;12.59;8.29
2;24;266;14.75;4.43
7;49;146;14.72;6.91
