6;15;127;1.32;5.66
6;35;288;11.18;4.42
6;31;346;14.09;6.71
6;34;143;12.15;7.70
6;29;257;7.61;5.00
6;23;186;5.58;6.88
6;13;125;15.17;6.03
6;26;235;7.69;8.21
6;3;284;14.17;7.75
6;13;326;12.59;8.29
6;18;183;1.49;7.19
6;32;208;5.02;6.61
6;22;242;13.55;5.23
6;22;245;7.83;8.27
6;27;230;14.47;4.64
6;16;303;1.45;5.02
6;7;316;6.23;6.13
6;26;290;8.42;6.40
6;1;163;13.17;7.34
6;43;191;3.95;4.84
6;40;144;10.53;6.60
6;21;305;6.90;5.22
6;28;303;2.42;5.23
6;44;161;14.31;7.88
6;44;168;10.71;6.07
6;1;288;2.09;4.39
6;22;274;12.81;5.64
6;18;225;11.61;5.84
6;18;206;9.67;7.54
6;44;327;13.36;4.99
6;42;296;10.97;6.78
6;14;175;8.44;7.81
6;21;248;14.74;6.79
6;49;312;13.52;6.26
6;35;259;3.51;7.56
6;1;144;8.58;5.19
6;10;243;11.90;6.38
6;22;288;13.13;5.30
6;27;310;10.82;6.81
6;38;184;14.80;4.75
6;1;155;14.57;6.33
6;46;304;4.07;4.55
6;46;121;11.76;7.64
6;4;233;5.26;6.51
6;45;221;5.49;7.96
6;48;251;6.58;6.71
6;30;308;4.28;5.25
6;36;277;13.37;6.76
6;1;217;12.76;8.16
6;8;152;12.69;4.70
6;21;185;2.55;7.85
6;41;282;1.89;7.00
6;34;147;3.63;4.74
6;4;172;11.21;7.88
6;17;304;4.44;7.77
6;21;163;4.79;4.82
6;36;254;9.39;5.31
6;29;297;7.86;7.11
6;6;286;10.45;5.86
