2016;04;01;15700;51.000;159.91;
2016;04;01;12700;7.047;69.42;
2016;04;01;12200;13.263;345.55;
2016;04;01;15500;26.000;223.58;
2016;04;01;15600;7.000;162.28;
2016;04;01;12700;5.421;69.26;
2016;04;01;15700;42.000;159.91;
2016;04;02;12300;0.929;239.65;
2016;04;02;15300;100.000;181.86;
2016;04;02;15400;4.000;160.60;
2016;04;02;15400;177.000;161.06;
2016;04;02;15500;12.000;222.81;
2016;04;02;15300;12.000;182.19;
2016;04;02;12500;0.348;416.59;
2016;04;04;15700;198.000;160.29;
2016;04;04;12800;2.256;193.50;
2016;04;04;12200;18.725;345.55;
2016;04;04;15200;21.000;566.38;
2016;04;04;12500;0.189;415.74;
2016;04;04;12300;3.929;240.35;
2016;04;04;15600;4.000;162.28;
2016;04;05;12200;1.952;346.02;
2016;04;05;12600;2.139;331.64;
2016;04;05;15500;22.000;223.58;
2016;04;05;12100;3.531;91.54;
2016;04;05;12800;5.051;193.50;
2016;04;05;12800;3.379;193.50;
2016;04;05;15600;4.000;162.69;
2016;04;06;12600;2.286;330.60;
2016;04;06;12100;4.761;91.54;
2016;04;06;12200;0.197;345.55;
2016;04;06;12800;5.324;193.82;
2016;04;06;12100;8.564;91.54;
2016;04;06;15600;3.000;162.94;
2016;04;06;15700;62.000;159.91;
2016;04;07;15600;5.000;162.53;
2016;04;07;12500;1.786;416.59;
2016;04;07;15400;22.000;160.80;
2016;04;07;15100;18.000;201.04;
2016;04;07;12100;0.400;91.54;
2016;04;07;15300;153.000;181.86;
2016;04;07;15400;76.000;160.60;
2016;04;08;12100;14.133;91.54;
2016;04;08;12200;17.761;346.49;
2016;04;08;12500;0.097;417.87;
2016;04;08;12600;3.202;330.60;
2016;04;08;15300;70.000;181.86;
2016;04;08;12600;3.160;330.60;
2016;04;08;15100;1.000;201.04;
2016;04;09;12400;1.082;150.99;
2016;04;09;12600;1.380;330.95;
2016;04;09;15700;88.000;159.91;
2016;04;09;12400;7.764;152.04;
2016;04;09;15700;25.000;159.91;
2016;04;09;15200;4.000;567.62;
2016;04;09;12500;0.253;416.59;
2016;04;11;12400;0.989;150.99;
2016;04;11;12500;3.495;415.31;
2016;04;11;15100;17.000;200.93;
2016;04;11;12400;4.370;150.99;
2016;04;11;12100;12.136;91.54;
2016;04;11;12800;1.770;193.50;
2016;04;11;12100;15.211;91.49;
2016;04;12;12300;14.297;240.18;
2016;04;12;15400;306.000;160.60;
2016;04;12;15200;7.000;566.38;
